matrix-tech-tws
                  AWSCodeCommitPowerUser              events:DeleteRule
                  AWSCodeCommitPowerUser            events:DescribeRule
                  AWSCodeCommitPowerUser             events:DisableRule
                  AWSCodeCommitPowerUser              events:EnableRule
                  AWSCodeCommitPowerUser                 events:PutRule
                  AWSCodeCommitPowerUser              events:PutTargets
                  AWSCodeCommitPowerUser           events:RemoveTargets
                  AWSCodeCommitPowerUser       events:ListTargetsByRule
                  AWSCodeCommitPowerUser                  sns:Subscribe
                  AWSCodeCommitPowerUser                sns:Unsubscribe
                  AWSCodeCommitPowerUser                 sns:ListTopics
                  AWSCodeCommitPowerUser   sns:ListSubscriptionsByTopic
                  AWSCodeCommitPowerUser         sns:GetTopicAttributes
                  AWSCodeCommitPowerUser           lambda:ListFunctions
                  AWSCodeCommitPowerUser                  iam:ListUsers
                  AWSCodeCommitPowerUser             iam:ListAccessKeys
                  AWSCodeCommitPowerUser          iam:ListSSHPublicKeys
                  AWSCodeCommitPowerUser iam:ListServiceSpecificCredentials
                  AWSCodeCommitPowerUser             iam:ListAccessKeys
                  AWSCodeCommitPowerUser            iam:GetSSHPublicKey
                  AWSCodeCommitPowerUser         iam:DeleteSSHPublicKey
                  AWSCodeCommitPowerUser            iam:GetSSHPublicKey
                  AWSCodeCommitPowerUser          iam:ListSSHPublicKeys
                  AWSCodeCommitPowerUser         iam:UpdateSSHPublicKey
                  AWSCodeCommitPowerUser         iam:UploadSSHPublicKey
                  AWSCodeCommitPowerUser iam:CreateServiceSpecificCredential
                  AWSCodeCommitPowerUser iam:UpdateServiceSpecificCredential
                  AWSCodeCommitPowerUser iam:DeleteServiceSpecificCredential
                  AWSCodeCommitPowerUser iam:ResetServiceSpecificCredential

                 AWSCodeCommitFullAccess                   codecommit:*
                 AWSCodeCommitFullAccess              events:DeleteRule
                 AWSCodeCommitFullAccess            events:DescribeRule
                 AWSCodeCommitFullAccess             events:DisableRule
                 AWSCodeCommitFullAccess              events:EnableRule
                 AWSCodeCommitFullAccess                 events:PutRule
                 AWSCodeCommitFullAccess              events:PutTargets
                 AWSCodeCommitFullAccess           events:RemoveTargets
                 AWSCodeCommitFullAccess       events:ListTargetsByRule
                 AWSCodeCommitFullAccess                sns:CreateTopic
                 AWSCodeCommitFullAccess                sns:DeleteTopic
                 AWSCodeCommitFullAccess                  sns:Subscribe
                 AWSCodeCommitFullAccess                sns:Unsubscribe
                 AWSCodeCommitFullAccess         sns:SetTopicAttributes
                 AWSCodeCommitFullAccess                 sns:ListTopics
                 AWSCodeCommitFullAccess   sns:ListSubscriptionsByTopic
                 AWSCodeCommitFullAccess         sns:GetTopicAttributes
                 AWSCodeCommitFullAccess           lambda:ListFunctions
                 AWSCodeCommitFullAccess                  iam:ListUsers
                 AWSCodeCommitFullAccess             iam:ListAccessKeys
                 AWSCodeCommitFullAccess          iam:ListSSHPublicKeys
                 AWSCodeCommitFullAccess iam:ListServiceSpecificCredentials
                 AWSCodeCommitFullAccess             iam:ListAccessKeys
                 AWSCodeCommitFullAccess            iam:GetSSHPublicKey
